instance,run,seed,island,model,best,best_iter,effective_iter,total_t,ml_rejects
bonus1000,10,91,0,COX,460.578,231,431,167.091,184
bonus1000,10,91,4,SSVM,443.82,240,449,184.274,176
bonus1000,10,91,5,WEIBULLAFT,436.519,221,449,224.634,95
bonus1000,10,91,1,RSF,439.208,349,549,259.998,143
bonus1000,10,91,2,GBSA,409.251,628,828,321.198,257
bonus1000,10,91,7,ELASTICNET,405.393,663,863,433.2,25
bonus1000,10,91,8,MTLR,408.378,884,1001,489.158,60
bonus1000,10,91,9,BASELINE,403.066,969,1001,496.426,0
bonus1000,10,91,3,DEEPSURV,398.026,997,1001,497.83,13
bonus1000,10,91,6,KNN,406.682,952,1001,499.292,27
bonus1000,1,1,0,COX,446.755,169,449,196.222,188
bonus1000,1,1,4,SSVM,443.847,238,449,204.411,175
bonus1000,1,1,8,MTLR,429.211,413,613,328.005,93
bonus1000,1,1,7,ELASTICNET,409.157,533,733,383.035,101
bonus1000,1,1,6,KNN,408.587,891,1001,502.387,110
bonus1000,1,1,5,WEIBULLAFT,409.958,998,1001,535.164,73
bonus1000,1,1,2,GBSA,394.755,916,1001,551.924,38
bonus1000,1,1,9,BASELINE,394.362,935,1001,565.729,0
bonus1000,1,1,1,RSF,396.198,938,1001,568.775,36
bonus1000,1,1,3,DEEPSURV,397.038,920,1001,572.707,9
bonus1000,2,11,7,ELASTICNET,446.997,225,449,197.384,161
bonus1000,2,11,4,SSVM,446.9,381,581,200.629,294
bonus1000,2,11,2,GBSA,422.343,532,732,312.238,242
bonus1000,2,11,1,RSF,399.538,414,614,333.677,128
bonus1000,2,11,8,MTLR,414.663,949,1001,444.2,336
bonus1000,2,11,9,BASELINE,397.709,678,878,520.376,0
bonus1000,2,11,6,KNN,400.34,886,1001,557.722,51
bonus1000,2,11,3,DEEPSURV,396.639,992,1001,574.539,24
bonus1000,2,11,0,COX,401.46,991,1001,578.408,9
bonus1000,2,11,5,WEIBULLAFT,391.836,981,1001,594.186,8
bonus1000,3,21,4,SSVM,433.932,236,449,175.28,196
bonus1000,3,21,0,COX,450.545,246,449,182.956,176
bonus1000,3,21,7,ELASTICNET,425.874,908,1001,271.57,560
bonus1000,3,21,6,KNN,405.765,976,1001,379.923,343
bonus1000,3,21,8,MTLR,404.727,786,986,427.992,280
bonus1000,3,21,2,GBSA,411.546,999,1001,482.089,139
bonus1000,3,21,3,DEEPSURV,404.336,926,1001,516.75,99
bonus1000,3,21,5,WEIBULLAFT,402.471,996,1001,529.614,42
bonus1000,3,21,9,BASELINE,403.241,966,1001,532.218,0
bonus1000,3,21,1,RSF,401.149,890,1001,582.983,2
bonus1000,4,31,0,COX,432.56,245,449,178.602,188
bonus1000,4,31,6,KNN,412.12,700,900,352.599,342
bonus1000,4,31,8,MTLR,405.191,549,749,409.715,122
bonus1000,4,31,7,ELASTICNET,417.699,616,816,425.463,144
bonus1000,4,31,3,DEEPSURV,416.647,837,1001,439.386,344
bonus1000,4,31,1,RSF,399.559,995,1001,533.668,214
bonus1000,4,31,5,WEIBULLAFT,400.616,982,1001,575.823,68
bonus1000,4,31,9,BASELINE,399.299,911,1001,590.257,0
bonus1000,4,31,4,SSVM,392.758,987,1001,590.358,4
bonus1000,4,31,2,GBSA,402.13,965,1001,594.186,40
bonus1000,5,41,0,COX,444.922,232,449,186.477,188
bonus1000,5,41,4,SSVM,460.56,221,449,208.991,156
bonus1000,5,41,6,KNN,409.179,595,795,302.86,310
