instance,run,seed,island,model,window,window_start_iter,window_end_iter,rejections
bonus1000,10,91,0,COX,4,200,249,40
bonus1000,10,91,0,COX,5,250,299,43
bonus1000,10,91,0,COX,6,300,349,37
bonus1000,10,91,0,COX,7,350,399,38
bonus1000,10,91,0,COX,8,400,449,25
bonus1000,10,91,1,RSF,5,250,299,18
bonus1000,10,91,4,SSVM,5,250,299,44
bonus1000,10,91,7,ELASTICNET,5,250,299,2
bonus1000,10,91,5,WEIBULLAFT,5,250,299,21
bonus1000,10,91,4,SSVM,6,300,349,48
bonus1000,10,91,4,SSVM,7,350,399,42
bonus1000,10,91,2,GBSA,5,250,299,9
bonus1000,10,91,6,KNN,5,250,299,3
bonus1000,10,91,4,SSVM,8,400,449,42
bonus1000,10,91,3,DEEPSURV,5,250,299,6
bonus1000,10,91,8,MTLR,5,250,299,5
bonus1000,10,91,5,WEIBULLAFT,6,300,349,22
bonus1000,10,91,1,RSF,6,300,349,20
bonus1000,10,91,2,GBSA,6,300,349,20
bonus1000,10,91,6,KNN,6,300,349,9
bonus1000,10,91,5,WEIBULLAFT,7,350,399,27
bonus1000,10,91,8,MTLR,6,300,349,8
bonus1000,10,91,1,RSF,7,350,399,26
bonus1000,10,91,7,ELASTICNET,6,300,349,3
bonus1000,10,91,2,GBSA,7,350,399,18
bonus1000,10,91,3,DEEPSURV,6,300,349,1
bonus1000,10,91,5,WEIBULLAFT,8,400,449,25
bonus1000,10,91,1,RSF,8,400,449,22
bonus1000,10,91,7,ELASTICNET,7,350,399,1
bonus1000,10,91,2,GBSA,8,400,449,23
bonus1000,10,91,6,KNN,7,350,399,3
bonus1000,10,91,8,MTLR,7,350,399,6
bonus1000,10,91,1,RSF,9,450,499,28
bonus1000,10,91,2,GBSA,9,450,499,22
bonus1000,10,91,7,ELASTICNET,8,400,449,6
bonus1000,10,91,8,MTLR,8,400,449,3
bonus1000,10,91,1,RSF,10,500,549,29
bonus1000,10,91,2,GBSA,10,500,549,22
bonus1000,10,91,6,KNN,8,400,449,1
bonus1000,10,91,7,ELASTICNET,9,450,499,2
bonus1000,10,91,2,GBSA,11,550,599,21
bonus1000,10,91,8,MTLR,9,450,499,3
bonus1000,10,91,6,KNN,9,450,499,6
bonus1000,10,91,3,DEEPSURV,9,450,499,1
bonus1000,10,91,2,GBSA,12,600,649,25
bonus1000,10,91,2,GBSA,13,650,699,21
bonus1000,10,91,7,ELASTICNET,10,500,549,1
bonus1000,10,91,8,MTLR,10,500,549,2
bonus1000,10,91,2,GBSA,14,700,749,26
bonus1000,10,91,6,KNN,10,500,549,1
bonus1000,10,91,7,ELASTICNET,11,550,599,5
bonus1000,10,91,2,GBSA,15,750,799,32
bonus1000,10,91,3,DEEPSURV,11,550,599,1
bonus1000,10,91,2,GBSA,16,800,849,18
bonus1000,10,91,8,MTLR,11,550,599,2
bonus1000,10,91,6,KNN,12,600,649,2
bonus1000,10,91,8,MTLR,12,600,649,4
bonus1000,10,91,3,DEEPSURV,12,600,649,1
bonus1000,10,91,7,ELASTICNET,12,600,649,1
bonus1000,10,91,3,DEEPSURV,13,650,699,2
bonus1000,10,91,6,KNN,13,650,699,1
bonus1000,10,91,8,MTLR,13,650,699,3
bonus1000,10,91,7,ELASTICNET,14,700,749,1
bonus1000,10,91,8,MTLR,14,700,749,4
bonus1000,10,91,6,KNN,15,750,799,1
bonus1000,10,91,8,MTLR,15,750,799,2
bonus1000,10,91,3,DEEPSURV,15,750,799,1
bonus1000,10,91,7,ELASTICNET,16,800,849,3
bonus1000,10,91,8,MTLR,16,800,849,4
bonus1000,10,91,8,MTLR,17,850,899,2
bonus1000,10,91,8,MTLR,18,900,949,5
bonus1000,10,91,8,MTLR,19,950,999,7
bonus1000,1,1,1,RSF,5,250,299,12
bonus1000,1,1,0,COX,5,250,299,48
bonus1000,1,1,6,KNN,5,250,299,14
bonus1000,1,1,0,COX,6,300,349,47
bonus1000,1,1,5,WEIBULLAFT,5,250,299,8
bonus1000,1,1,4,SSVM,5,250,299,43
bonus1000,1,1,0,COX,7,350,399,46
bonus1000,1,1,7,ELASTICNET,5,250,299,18
bonus1000,1,1,0,COX,8,400,449,45
bonus1000,1,1,4,SSVM,6,300,349,38
bonus1000,1,1,4,SSVM,7,350,399,45
bonus1000,1,1,2,GBSA,5,250,299,5
bonus1000,1,1,4,SSVM,8,400,449,45
bonus1000,1,1,8,MTLR,5,250,299,11
bonus1000,1,1,3,DEEPSURV,5,250,299,4
bonus1000,1,1,6,KNN,6,300,349,13
bonus1000,1,1,1,RSF,6,300,349,6
bonus1000,1,1,7,ELASTICNET,6,300,349,5
bonus1000,1,1,5,WEIBULLAFT,6,300,349,6
bonus1000,1,1,8,MTLR,6,300,349,13
bonus1000,1,1,2,GBSA,6,300,349,4
bonus1000,1,1,6,KNN,7,350,399,8
bonus1000,1,1,3,DEEPSURV,6,300,349,1
bonus1000,1,1,7,ELASTICNET,7,350,399,9
bonus1000,1,1,5,WEIBULLAFT,7,350,399,8
bonus1000,1,1,8,MTLR,7,350,399,9
bonus1000,1,1,2,GBSA,7,350,399,3
bonus1000,1,1,6,KNN,8,400,449,5
bonus1000,1,1,1,RSF,7,350,399,3
bonus1000,1,1,5,WEIBULLAFT,8,400,449,9
bonus1000,1,1,7,ELASTICNET,8,400,449,13
bonus1000,1,1,3,DEEPSURV,7,350,399,1
bonus1000,1,1,8,MTLR,8,400,449,9
bonus1000,1,1,1,RSF,8,400,449,3
bonus1000,1,1,6,KNN,9,450,499,12
bonus1000,1,1,8,MTLR,9,450,499,16
bonus1000,1,1,7,ELASTICNET,9,450,499,10
bonus1000,1,1,5,WEIBULLAFT,9,450,499,7
bonus1000,1,1,2,GBSA,8,400,449,2
bonus1000,1,1,6,KNN,10,500,549,7
bonus1000,1,1,7,ELASTICNET,10,500,549,10
bonus1000,1,1,8,MTLR,10,500,549,14
bonus1000,1,1,5,WEIBULLAFT,10,500,549,9
bonus1000,1,1,2,GBSA,9,450,499,3
bonus1000,1,1,6,KNN,11,550,599,4
bonus1000,1,1,2,GBSA,10,500,549,4
bonus1000,1,1,8,MTLR,11,550,599,19
bonus1000,1,1,7,ELASTICNET,11,550,599,8
bonus1000,1,1,5,WEIBULLAFT,11,550,599,5
bonus1000,1,1,1,RSF,10,500,549,2
bonus1000,1,1,6,KNN,12,600,649,11
bonus1000,1,1,8,MTLR,12,600,649,2
bonus1000,1,1,7,ELASTICNET,12,600,649,15
bonus1000,1,1,2,GBSA,11,550,599,7
bonus1000,1,1,3,DEEPSURV,10,500,549,1
bonus1000,1,1,6,KNN,13,650,699,8
bonus1000,1,1,5,WEIBULLAFT,12,600,649,5
bonus1000,1,1,7,ELASTICNET,13,650,699,7
bonus1000,1,1,2,GBSA,12,600,649,6
bonus1000,1,1,1,RSF,12,600,649,4
bonus1000,1,1,5,WEIBULLAFT,13,650,699,5
bonus1000,1,1,6,KNN,14,700,749,6
bonus1000,1,1,7,ELASTICNET,14,700,749,6
bonus1000,1,1,2,GBSA,13,650,699,2
bonus1000,1,1,6,KNN,15,750,799,5
bonus1000,1,1,1,RSF,13,650,699,2
bonus1000,1,1,6,KNN,16,800,849,4
bonus1000,1,1,3,DEEPSURV,13,650,699,1
bonus1000,1,1,2,GBSA,15,750,799,1
bonus1000,1,1,3,DEEPSURV,14,700,749,1
bonus1000,1,1,5,WEIBULLAFT,15,750,799,1
bonus1000,1,1,6,KNN,17,850,899,7
bonus1000,1,1,5,WEIBULLAFT,16,800,849,3
bonus1000,1,1,6,KNN,18,900,949,1
bonus1000,1,1,6,KNN,19,950,999,5
bonus1000,1,1,2,GBSA,17,850,899,1
bonus1000,1,1,5,WEIBULLAFT,18,900,949,1
bonus1000,1,1,5,WEIBULLAFT,19,950,999,5
bonus1000,1,1,1,RSF,18,900,949,2
bonus1000,1,1,1,RSF,19,950,999,2
bonus1000,2,11,2,GBSA,4,200,249,11
bonus1000,2,11,6,KNN,5,250,299,9
bonus1000,2,11,2,GBSA,5,250,299,13
bonus1000,2,11,7,ELASTICNET,5,250,299,42
bonus1000,2,11,4,SSVM,5,250,299,46
bonus1000,2,11,4,SSVM,6,300,349,43
bonus1000,2,11,7,ELASTICNET,6,300,349,38
bonus1000,2,11,1,RSF,5,250,299,11
bonus1000,2,11,0,COX,5,250,299,3
bonus1000,2,11,4,SSVM,7,350,399,44
bonus1000,2,11,3,DEEPSURV,5,250,299,9
bonus1000,2,11,5,WEIBULLAFT,5,250,299,2
bonus1000,2,11,8,MTLR,5,250,299,14
bonus1000,2,11,4,SSVM,8,400,449,47
bonus1000,2,11,7,ELASTICNET,7,350,399,39
bonus1000,2,11,4,SSVM,9,450,499,42
bonus1000,2,11,2,GBSA,6,300,349,16
bonus1000,2,11,7,ELASTICNET,8,400,449,41
bonus1000,2,11,6,KNN,6,300,349,8
bonus1000,2,11,4,SSVM,10,500,549,43
bonus1000,2,11,4,SSVM,11,550,599,29
bonus1000,2,11,1,RSF,6,300,349,8
bonus1000,2,11,8,MTLR,6,300,349,16
bonus1000,2,11,3,DEEPSURV,6,300,349,6
bonus1000,2,11,0,COX,6,300,349,2
bonus1000,2,11,2,GBSA,7,350,399,23
bonus1000,2,11,6,KNN,7,350,399,11
bonus1000,2,11,8,MTLR,7,350,399,25
bonus1000,2,11,2,GBSA,8,400,449,25
bonus1000,2,11,1,RSF,7,350,399,17
bonus1000,2,11,0,COX,7,350,399,3
bonus1000,2,11,3,DEEPSURV,7,350,399,1
bonus1000,2,11,6,KNN,8,400,449,6
bonus1000,2,11,2,GBSA,9,450,499,25
bonus1000,2,11,8,MTLR,8,400,449,17
bonus1000,2,11,1,RSF,8,400,449,18
bonus1000,2,11,5,WEIBULLAFT,7,350,399,1
bonus1000,2,11,2,GBSA,10,500,549,25
bonus1000,2,11,8,MTLR,9,450,499,16
bonus1000,2,11,6,KNN,9,450,499,2
bonus1000,2,11,2,GBSA,11,550,599,23
bonus1000,2,11,1,RSF,9,450,499,21
bonus1000,2,11,8,MTLR,10,500,549,19
bonus1000,2,11,2,GBSA,12,600,649,30
bonus1000,2,11,1,RSF,10,500,549,27
bonus1000,2,11,3,DEEPSURV,9,450,499,1
bonus1000,2,11,2,GBSA,13,650,699,30
bonus1000,2,11,8,MTLR,11,550,599,16
bonus1000,2,11,6,KNN,10,500,549,2
bonus1000,2,11,2,GBSA,14,700,749,20
bonus1000,2,11,1,RSF,11,550,599,18
bonus1000,2,11,5,WEIBULLAFT,9,450,499,1
bonus1000,2,11,3,DEEPSURV,10,500,549,2
bonus1000,2,11,8,MTLR,12,600,649,25
bonus1000,2,11,6,KNN,11,550,599,6
bonus1000,2,11,1,RSF,12,600,649,6
bonus1000,2,11,8,MTLR,13,650,699,21
bonus1000,2,11,6,KNN,12,600,649,2
bonus1000,2,11,5,WEIBULLAFT,10,500,549,1
bonus1000,2,11,8,MTLR,14,700,749,28
bonus1000,2,11,8,MTLR,15,750,799,23
bonus1000,2,11,5,WEIBULLAFT,11,550,599,1
bonus1000,2,11,6,KNN,13,650,699,1
bonus1000,2,11,8,MTLR,16,800,849,19
bonus1000,2,11,8,MTLR,17,850,899,27
bonus1000,2,11,3,DEEPSURV,13,650,699,1
bonus1000,2,11,8,MTLR,18,900,949,36
bonus1000,2,11,8,MTLR,19,950,999,33
bonus1000,2,11,6,KNN,15,750,799,1
bonus1000,2,11,3,DEEPSURV,15,750,799,3
bonus1000,2,11,5,WEIBULLAFT,14,700,749,1
bonus1000,2,11,3,DEEPSURV,17,850,899,1
bonus1000,2,11,6,KNN,19,950,999,3
bonus1000,2,11,5,WEIBULLAFT,18,900,949,1
bonus1000,3,21,0,COX,5,250,299,46
bonus1000,3,21,4,SSVM,5,250,299,49
bonus1000,3,21,6,KNN,5,250,299,24
bonus1000,3,21,0,COX,6,300,349,43
bonus1000,3,21,4,SSVM,6,300,349,50
bonus1000,3,21,7,ELASTICNET,5,250,299,39
bonus1000,3,21,4,SSVM,7,350,399,48
bonus1000,3,21,5,WEIBULLAFT,5,250,299,9
bonus1000,3,21,4,SSVM,8,400,449,49
bonus1000,3,21,2,GBSA,5,250,299,25
bonus1000,3,21,0,COX,7,350,399,44
bonus1000,3,21,7,ELASTICNET,6,300,349,37
bonus1000,3,21,0,COX,8,400,449,43
bonus1000,3,21,6,KNN,6,300,349,33
bonus1000,3,21,7,ELASTICNET,7,350,399,35
bonus1000,3,21,3,DEEPSURV,5,250,299,14
bonus1000,3,21,2,GBSA,6,300,349,18
bonus1000,3,21,8,MTLR,5,250,299,6
bonus1000,3,21,6,KNN,7,350,399,29
bonus1000,3,21,7,ELASTICNET,8,400,449,31
bonus1000,3,21,5,WEIBULLAFT,6,300,349,6
bonus1000,3,21,2,GBSA,7,350,399,17
bonus1000,3,21,7,ELASTICNET,9,450,499,38
bonus1000,3,21,6,KNN,8,400,449,30
bonus1000,3,21,3,DEEPSURV,6,300,349,16
bonus1000,3,21,1,RSF,5,250,299,2
bonus1000,3,21,7,ELASTICNET,10,500,549,40
bonus1000,3,21,8,MTLR,6,300,349,7
bonus1000,3,21,6,KNN,9,450,499,30
bonus1000,3,21,7,ELASTICNET,11,550,599,38
bonus1000,3,21,5,WEIBULLAFT,7,350,399,5
bonus1000,3,21,7,ELASTICNET,12,600,649,42
bonus1000,3,21,2,GBSA,8,400,449,14
bonus1000,3,21,6,KNN,10,500,549,27
bonus1000,3,21,7,ELASTICNET,13,650,699,38
bonus1000,3,21,3,DEEPSURV,7,350,399,9
bonus1000,3,21,7,ELASTICNET,14,700,749,36
bonus1000,3,21,8,MTLR,7,350,399,7
bonus1000,3,21,6,KNN,11,550,599,27
bonus1000,3,21,2,GBSA,9,450,499,12
bonus1000,3,21,7,ELASTICNET,15,750,799,43
bonus1000,3,21,5,WEIBULLAFT,8,400,449,7
bonus1000,3,21,3,DEEPSURV,8,400,449,8
bonus1000,3,21,7,ELASTICNET,16,800,849,37
bonus1000,3,21,6,KNN,12,600,649,21
bonus1000,3,21,7,ELASTICNET,17,850,899,31
bonus1000,3,21,8,MTLR,8,400,449,14
bonus1000,3,21,2,GBSA,10,500,549,8
bonus1000,3,21,5,WEIBULLAFT,9,450,499,2
bonus1000,3,21,7,ELASTICNET,18,900,949,37
bonus1000,3,21,6,KNN,13,650,699,27
bonus1000,3,21,3,DEEPSURV,9,450,499,12
bonus1000,3,21,7,ELASTICNET,19,950,999,35
bonus1000,3,21,6,KNN,14,700,749,20
bonus1000,3,21,2,GBSA,11,550,599,12
bonus1000,3,21,8,MTLR,9,450,499,12
bonus1000,3,21,5,WEIBULLAFT,10,500,549,3
bonus1000,3,21,3,DEEPSURV,10,500,549,7
bonus1000,3,21,6,KNN,15,750,799,21
bonus1000,3,21,8,MTLR,10,500,549,24
bonus1000,3,21,2,GBSA,12,600,649,7
bonus1000,3,21,6,KNN,16,800,849,18
bonus1000,3,21,8,MTLR,11,550,599,10
bonus1000,3,21,3,DEEPSURV,11,550,599,6
bonus1000,3,21,5,WEIBULLAFT,11,550,599,1
bonus1000,3,21,6,KNN,17,850,899,13
bonus1000,3,21,2,GBSA,13,650,699,5
bonus1000,3,21,8,MTLR,12,600,649,24
bonus1000,3,21,3,DEEPSURV,12,600,649,3
bonus1000,3,21,6,KNN,18,900,949,11
bonus1000,3,21,2,GBSA,14,700,749,7
bonus1000,3,21,5,WEIBULLAFT,12,600,649,4
bonus1000,3,21,8,MTLR,13,650,699,16
bonus1000,3,21,3,DEEPSURV,13,650,699,6
bonus1000,3,21,8,MTLR,14,700,749,24
bonus1000,3,21,6,KNN,19,950,999,11
bonus1000,3,21,2,GBSA,15,750,799,7
bonus1000,3,21,8,MTLR,15,750,799,25
bonus1000,3,21,3,DEEPSURV,14,700,749,5
bonus1000,3,21,8,MTLR,16,800,849,32
bonus1000,3,21,5,WEIBULLAFT,14,700,749,1
bonus1000,3,21,2,GBSA,16,800,849,5
bonus1000,3,21,8,MTLR,17,850,899,21
bonus1000,3,21,3,DEEPSURV,15,750,799,4
bonus1000,3,21,8,MTLR,18,900,949,30
bonus1000,3,21,2,GBSA,17,850,899,1
bonus1000,3,21,8,MTLR,19,950,999,25
bonus1000,3,21,5,WEIBULLAFT,15,750,799,1
bonus1000,3,21,3,DEEPSURV,16,800,849,1
bonus1000,3,21,5,WEIBULLAFT,16,800,849,2
