instance,run,seed,island,model,score,approx_iter,window
bonus1000,10,91,0,COX,3.71896,200,4
bonus1000,10,91,0,COX,1.85993,201,4
bonus1000,10,91,0,COX,1.1036,202,4
bonus1000,10,91,0,COX,1.12702,203,4
bonus1000,10,91,0,COX,1.29994,205,4
bonus1000,10,91,0,COX,1.69936,207,4
bonus1000,10,91,0,COX,4.56576,208,4
bonus1000,10,91,0,COX,1.43811,209,4
bonus1000,10,91,0,COX,1.0833,210,4
bonus1000,10,91,0,COX,1.27689,211,4
bonus1000,10,91,0,COX,1.56025,212,4
bonus1000,10,91,0,COX,1.07153,213,4
bonus1000,10,91,0,COX,1.0407,214,4
bonus1000,10,91,0,COX,1.35834,215,4
bonus1000,10,91,0,COX,8.09474,216,4
bonus1000,10,91,0,COX,1.57126,217,4
bonus1000,10,91,0,COX,3.82825,218,4
bonus1000,10,91,0,COX,1.93553,221,4
bonus1000,10,91,0,COX,1.95491,223,4
bonus1000,10,91,0,COX,1.46241,224,4
bonus1000,10,91,0,COX,1.09284,226,4
bonus1000,10,91,0,COX,2.70743,227,4
bonus1000,10,91,0,COX,1.8721,228,4
bonus1000,10,91,0,COX,1.76103,229,4
bonus1000,10,91,0,COX,7.66578,231,4
bonus1000,10,91,0,COX,1.73641,233,4
bonus1000,10,91,0,COX,2.31191,234,4
bonus1000,10,91,0,COX,1.37809,235,4
bonus1000,10,91,0,COX,10.4748,236,4
bonus1000,10,91,0,COX,2.29888,237,4
bonus1000,10,91,0,COX,1.32614,239,4
bonus1000,10,91,0,COX,1.34161,240,4
bonus1000,10,91,0,COX,1.3113,241,4
bonus1000,10,91,0,COX,2.56036,242,4
bonus1000,10,91,0,COX,1.11004,243,4
bonus1000,10,91,0,COX,1.20101,245,4
bonus1000,10,91,0,COX,1.28185,246,4
bonus1000,10,91,0,COX,1.80267,247,4
bonus1000,10,91,0,COX,1.20203,248,4
bonus1000,10,91,0,COX,1.8869,249,4
bonus1000,10,91,0,COX,1.2017,251,5
bonus1000,10,91,0,COX,1.49979,252,5
bonus1000,10,91,0,COX,2.1681,254,5
bonus1000,10,91,0,COX,8.98152,255,5
bonus1000,10,91,0,COX,1.79014,257,5
bonus1000,10,91,0,COX,2.02356,258,5
bonus1000,10,91,0,COX,1.48555,259,5
bonus1000,10,91,0,COX,1.76654,260,5
bonus1000,10,91,0,COX,2.11987,262,5
bonus1000,10,91,0,COX,6.9459,263,5
bonus1000,10,91,0,COX,1.68458,264,5
bonus1000,10,91,0,COX,3.06756,265,5
bonus1000,10,91,0,COX,2.12832,266,5
bonus1000,10,91,0,COX,1.09609,267,5
bonus1000,10,91,0,COX,1.18812,269,5
bonus1000,10,91,0,COX,2.9618,270,5
bonus1000,10,91,0,COX,1.16995,271,5
bonus1000,10,91,0,COX,1.3997,272,5
bonus1000,10,91,0,COX,1.80336,273,5
bonus1000,10,91,0,COX,1.34075,274,5
bonus1000,10,91,0,COX,1.20148,275,5
bonus1000,10,91,0,COX,1.64453,276,5
bonus1000,10,91,0,COX,1.32049,277,5
bonus1000,10,91,0,COX,2.02111,278,5
bonus1000,10,91,0,COX,1.60641,279,5
bonus1000,10,91,0,COX,1.33386,280,5
bonus1000,10,91,0,COX,1.38414,281,5
bonus1000,10,91,0,COX,1.59036,282,5
bonus1000,10,91,0,COX,1.18727,283,5
bonus1000,10,91,0,COX,2.42295,285,5
bonus1000,10,91,0,COX,1.22025,286,5
bonus1000,10,91,0,COX,2.27857,287,5
bonus1000,10,91,0,COX,1.90452,288,5
bonus1000,10,91,0,COX,1.10708,289,5
