instance,run,seed,island,model,percentile,threshold,objective,val_samples
bonus1000,10,91,0,COX,90,1.035618,0.0651,40
bonus1000,10,91,1,RSF,70,112.568342,-0.022,50
bonus1000,10,91,7,ELASTICNET,90,0.225527,0.0782,50
bonus1000,10,91,4,SSVM,50,-0.865286,0.3035,47
bonus1000,10,91,5,WEIBULLAFT,55,-15.086152,0.2024,48
bonus1000,10,91,6,KNN,90,-12.26,0.0511,50
bonus1000,10,91,3,DEEPSURV,65,65.0,0.0623,50
bonus1000,10,91,2,GBSA,60,0.343538,0.0518,50
bonus1000,10,91,8,MTLR,90,0.966142,0.0606,50
bonus1000,1,1,1,RSF,65,114.696853,0.1417,50
bonus1000,1,1,6,KNN,65,-19.42,0.2327,50
bonus1000,1,1,0,COX,70,1.011054,0.1771,50
bonus1000,1,1,5,WEIBULLAFT,60,-12.880258,0.4078,47
bonus1000,1,1,4,SSVM,50,-0.674563,0.386,48
bonus1000,1,1,7,ELASTICNET,55,0.020245,0.0261,50
bonus1000,1,1,2,GBSA,70,1.011024,0.1363,50
bonus1000,1,1,8,MTLR,75,0.96971,0.0418,50
bonus1000,1,1,3,DEEPSURV,75,75.0,0.0099,50
bonus1000,2,11,5,WEIBULLAFT,95,-9.55403,-0.0236,40
bonus1000,2,11,2,GBSA,55,0.13171,0.2218,46
bonus1000,2,11,6,KNN,85,-14.533333,0.0969,50
bonus1000,2,11,7,ELASTICNET,50,0.013502,0.0565,50
bonus1000,2,11,4,SSVM,50,-1.284104,0.1445,48
bonus1000,2,11,0,COX,65,1.011899,0.1656,50
bonus1000,2,11,1,RSF,75,117.891129,0.1091,50
bonus1000,2,11,3,DEEPSURV,70,70.0,0.0667,50
bonus1000,2,11,8,MTLR,55,0.960585,-0.0265,50
bonus1000,3,21,0,COX,55,1.001934,0.0873,50
bonus1000,3,21,4,SSVM,50,-0.837934,0.3875,48
bonus1000,3,21,6,KNN,50,-19.866667,0.2954,50
bonus1000,3,21,7,ELASTICNET,55,0.026604,0.1694,50
bonus1000,3,21,5,WEIBULLAFT,70,-14.26849,-0.0355,47
bonus1000,3,21,1,RSF,90,110.605259,0.0748,46
bonus1000,3,21,2,GBSA,65,0.714074,0.2254,50
bonus1000,3,21,3,DEEPSURV,50,50.0,0.0579,50
bonus1000,3,21,8,MTLR,95,0.99183,0.0444,50
bonus1000,4,31,4,SSVM,65,-0.262667,0.1321,47
bonus1000,4,31,6,KNN,75,-17.0,0.0878,50
bonus1000,4,31,7,ELASTICNET,50,-0.000982,0.1082,50
bonus1000,4,31,0,COX,70,1.046579,0.1079,50
bonus1000,4,31,2,GBSA,80,1.130929,0.0845,50
bonus1000,4,31,5,WEIBULLAFT,55,-13.034217,0.3563,48
bonus1000,4,31,1,RSF,50,93.88436,0.3168,50
bonus1000,4,31,8,MTLR,80,0.986312,-0.0563,50
bonus1000,4,31,3,DEEPSURV,75,75.0,0.0022,50
bonus1000,5,41,2,GBSA,50,0.079039,0.1176,46
bonus1000,5,41,7,ELASTICNET,50,0.008806,0.1065,50
bonus1000,5,41,6,KNN,50,-20.933333,0.349,50
bonus1000,5,41,0,COX,75,1.077238,0.1457,50
bonus1000,5,41,4,SSVM,50,-0.707192,0.1996,48
bonus1000,5,41,1,RSF,85,115.604301,0.1053,50
bonus1000,5,41,5,WEIBULLAFT,50,-15.158673,0.2888,48
bonus1000,5,41,8,MTLR,60,0.982745,0.1422,50
bonus1000,5,41,3,DEEPSURV,60,60.0,0.1102,50
bonus1000,6,51,7,ELASTICNET,80,0.230126,0.1646,40
bonus1000,6,51,6,KNN,85,-13.16,0.138,40
bonus1000,6,51,5,WEIBULLAFT,85,-10.948408,0.0788,41
bonus1000,6,51,4,SSVM,75,-0.833267,0.0556,47
bonus1000,6,51,2,GBSA,60,0.450381,0.0717,50
bonus1000,6,51,1,RSF,90,116.545876,0.0463,50
bonus1000,6,51,3,DEEPSURV,65,65.0,0.0251,50
bonus1000,6,51,0,COX,65,1.008734,0.1887,50
bonus1000,6,51,8,MTLR,55,0.971989,0.0987,50
bonus1000,7,61,6,KNN,95,-10.33,0.0288,43
bonus1000,7,61,1,RSF,90,105.073615,0.0914,47
bonus1000,7,61,0,COX,85,1.021795,0.1159,50
bonus1000,7,61,7,ELASTICNET,60,0.115356,0.1199,50
bonus1000,7,61,2,GBSA,50,0.207777,0.2409,50
bonus1000,7,61,4,SSVM,60,-0.97764,0.3595,48
bonus1000,7,61,5,WEIBULLAFT,70,-11.605984,0.0504,48
bonus1000,7,61,8,MTLR,65,0.977793,-0.0262,50
bonus1000,7,61,3,DEEPSURV,75,75.0,0.1193,50
bonus1000,8,71,2,GBSA,70,0.826451,0.1303,50
bonus1000,8,71,4,SSVM,60,-0.924161,0.1313,48
bonus1000,8,71,7,ELASTICNET,75,0.12588,0.0776,50
bonus1000,8,71,5,WEIBULLAFT,95,-10.792931,-0.0418,48
bonus1000,8,71,0,COX,50,1.008351,0.1932,50
bonus1000,8,71,3,DEEPSURV,80,80.0,0.0171,50
bonus1000,8,71,6,KNN,50,-20.966667,0.2502,50
bonus1000,8,71,1,RSF,70,105.627231,0.1094,50
bonus1000,8,71,8,MTLR,55,0.919919,-0.0349,50
bonus1000,9,81,6,KNN,95,-13.55,0.0496,50
bonus1000,9,81,2,GBSA,70,0.805195,0.185,50
bonus1000,9,81,0,COX,50,1.00009,0.5066,50
bonus1000,9,81,5,WEIBULLAFT,95,-10.701021,0.0181,47
bonus1000,9,81,7,ELASTICNET,60,0.031815,0.0808,50
bonus1000,9,81,4,SSVM,80,-0.705217,0.1014,47
bonus1000,9,81,8,MTLR,60,0.967294,0.2773,50
bonus1000,9,81,1,RSF,95,120.734248,-0.0173,50
bonus1000,9,81,3,DEEPSURV,95,95.0,-0.027,50
concentricCircles1,10,91,7,ELASTICNET,50,0.066043,0.4495,33
concentricCircles1,10,91,4,SSVM,50,-0.887942,0.5026,32
concentricCircles1,10,91,6,KNN,95,-11.38,0.0496,32
concentricCircles1,10,91,0,COX,50,1.096425,0.5549,34
concentricCircles1,10,91,1,RSF,55,66.792081,0.3707,36
concentricCircles1,10,91,2,GBSA,50,0.220801,0.1997,35
concentricCircles1,10,91,5,WEIBULLAFT,65,-13.476318,0.1426,34
concentricCircles1,10,91,8,MTLR,70,0.997427,0.1265,34
concentricCircles1,10,91,3,DEEPSURV,50,50.0,-0.0085,35
concentricCircles1,1,1,6,KNN,85,-13.386667,0.1243,36
concentricCircles1,1,1,4,SSVM,50,-1.227529,0.4288,33
concentricCircles1,1,1,7,ELASTICNET,50,0.058995,-0.0045,38
concentricCircles1,1,1,0,COX,60,1.100298,0.2422,33
concentricCircles1,1,1,1,RSF,50,58.314936,0.2103,35
concentricCircles1,1,1,2,GBSA,50,0.195347,0.3731,36
concentricCircles1,1,1,5,WEIBULLAFT,50,-13.653769,0.0675,34
concentricCircles1,1,1,3,DEEPSURV,50,50.0,0.4604,33
concentricCircles1,1,1,8,MTLR,65,0.856415,0.092,35
