instance,run,seed,island,train_iter,events,patience,stagnation,soft_ceil,hard_ceil
bonus1000,10,91,0,200,180,98,1,0,0
bonus1000,10,91,3,250,230,36,0,1,0
bonus1000,10,91,1,250,230,4,0,1,0
bonus1000,10,91,7,250,230,17,0,1,0
bonus1000,10,91,8,250,230,8,0,1,0
bonus1000,10,91,4,250,230,9,0,1,0
bonus1000,10,91,5,250,230,28,0,1,0
bonus1000,10,91,2,250,230,7,0,1,0
bonus1000,10,91,6,250,230,71,0,1,0
bonus1000,1,1,8,250,230,35,0,1,0
bonus1000,1,1,1,250,230,4,0,1,0
bonus1000,1,1,6,250,230,16,0,1,0
bonus1000,1,1,5,250,230,77,0,1,0
bonus1000,1,1,3,250,230,40,0,1,0
bonus1000,1,1,0,250,230,80,1,1,0
bonus1000,1,1,4,250,230,11,0,1,0
bonus1000,1,1,2,250,230,1,0,1,0
bonus1000,1,1,7,250,230,55,0,1,0
bonus1000,2,11,5,212,190,80,1,0,0
bonus1000,2,11,2,226,200,80,1,0,0
bonus1000,2,11,6,250,230,7,0,1,0
bonus1000,2,11,3,250,230,0,0,1,0
bonus1000,2,11,7,250,230,24,0,1,0
bonus1000,2,11,4,250,230,48,0,1,0
bonus1000,2,11,8,250,230,58,0,1,0
bonus1000,2,11,0,250,230,28,0,1,0
bonus1000,2,11,1,250,230,32,0,1,0
bonus1000,3,21,1,230,210,80,1,0,0
bonus1000,3,21,4,250,230,13,0,1,0
bonus1000,3,21,0,250,230,3,0,1,0
bonus1000,3,21,7,250,230,65,0,1,0
bonus1000,3,21,5,250,230,41,0,1,0
bonus1000,3,21,6,250,230,19,0,1,0
bonus1000,3,21,3,250,230,35,0,1,0
bonus1000,3,21,2,250,230,22,0,1,0
bonus1000,3,21,8,250,230,16,0,1,0
bonus1000,4,31,4,250,230,20,0,1,0
bonus1000,4,31,6,250,230,21,0,1,0
bonus1000,4,31,7,250,230,46,0,1,0
bonus1000,4,31,0,250,230,4,0,1,0
bonus1000,4,31,8,250,230,20,0,1,0
bonus1000,4,31,2,250,230,22,0,1,0
bonus1000,4,31,5,250,230,1,0,1,0
bonus1000,4,31,3,250,230,3,0,1,0
bonus1000,4,31,1,250,230,16,0,1,0
bonus1000,5,41,2,229,200,80,1,0,0
bonus1000,5,41,7,250,230,2,0,1,0
bonus1000,5,41,6,250,230,68,0,1,0
bonus1000,5,41,0,250,230,17,0,1,0
bonus1000,5,41,3,250,230,25,0,1,0
bonus1000,5,41,8,250,230,14,0,1,0
bonus1000,5,41,4,250,230,28,0,1,0
bonus1000,5,41,1,250,230,27,0,1,0
bonus1000,5,41,5,250,230,4,0,1,0
bonus1000,6,51,7,200,180,89,1,0,0
bonus1000,6,51,6,200,180,91,1,0,0
bonus1000,6,51,5,212,190,80,1,0,0
bonus1000,6,51,3,250,230,8,0,1,0
bonus1000,6,51,4,250,230,6,0,1,0
bonus1000,6,51,2,250,230,9,0,1,0
bonus1000,6,51,8,250,230,63,0,1,0
bonus1000,6,51,1,250,230,79,0,1,0
bonus1000,6,51,0,250,230,12,0,1,0
bonus1000,7,61,6,214,190,80,1,0,0
bonus1000,7,61,1,232,210,80,1,0,0
bonus1000,7,61,0,250,230,1,0,1,0
bonus1000,7,61,2,250,230,5,0,1,0
bonus1000,7,61,7,250,230,49,0,1,0
bonus1000,7,61,4,250,230,8,0,1,0
bonus1000,7,61,8,250,230,0,0,1,0
bonus1000,7,61,3,250,230,18,0,1,0
bonus1000,7,61,5,250,230,72,0,1,0
bonus1000,8,71,3,250,230,5,0,1,0
bonus1000,8,71,2,250,230,15,0,1,0
bonus1000,8,71,8,250,230,2,0,1,0
bonus1000,8,71,5,250,230,32,0,1,0
bonus1000,8,71,4,250,230,6,0,1,0
bonus1000,8,71,0,250,230,77,0,1,0
bonus1000,8,71,7,250,230,43,0,1,0
bonus1000,8,71,1,250,230,52,0,1,0
bonus1000,8,71,6,250,230,46,0,1,0
bonus1000,9,81,6,250,230,60,0,1,0
bonus1000,9,81,8,250,230,22,0,1,0
bonus1000,9,81,2,250,230,3,0,1,0
bonus1000,9,81,5,250,230,11,0,1,0
bonus1000,9,81,0,250,230,27,0,1,0
bonus1000,9,81,3,250,230,75,0,1,0
bonus1000,9,81,7,250,230,25,0,1,0
bonus1000,9,81,4,250,230,24,0,1,0
bonus1000,9,81,1,250,230,12,0,1,0
concentricCircles1,10,91,4,200,136,125,1,0,0
concentricCircles1,10,91,5,200,154,159,1,0,0
concentricCircles1,10,91,8,200,143,143,1,0,0
concentricCircles1,10,91,7,200,137,173,1,0,0
concentricCircles1,10,91,2,200,147,183,1,0,0
concentricCircles1,10,91,1,200,152,102,1,0,0
concentricCircles1,10,91,6,200,134,189,1,0,0
concentricCircles1,10,91,3,207,144,80,1,0,0
concentricCircles1,1,1,3,200,137,166,1,0,0
concentricCircles1,1,1,0,200,138,87,1,0,0
concentricCircles1,1,1,1,200,148,149,1,0,0
concentricCircles1,1,1,6,200,153,91,1,0,0
concentricCircles1,1,1,8,200,145,133,1,0,0
concentricCircles1,1,1,4,200,148,123,1,0,0
concentricCircles1,1,1,2,200,155,181,1,0,0
concentricCircles1,1,1,7,200,166,176,1,0,0
concentricCircles1,1,1,5,200,155,85,1,0,0
concentricCircles1,2,11,8,200,154,161,1,0,0
concentricCircles1,2,11,5,200,125,91,1,0,0
concentricCircles1,2,11,6,200,124,168,1,0,0
concentricCircles1,2,11,1,200,144,90,1,0,0
concentricCircles1,2,11,3,200,144,126,1,0,0
concentricCircles1,2,11,4,200,135,139,1,0,0
concentricCircles1,2,11,2,210,157,80,1,0,0
concentricCircles1,2,11,0,224,174,80,1,0,0
concentricCircles1,2,11,7,244,195,80,1,0,0
