group,model,degradation%,speedup,reject_rate%,n_runs
or10,BASELINE,0.0,1.0,0.0,20
or10,RSF,0.45,0.993,22.54,20
or10,DEEPSURV,0.316,1.048,12.86,20
or10,WEIBULLAFT,1.347,1.416,29.92,20
or10,GBSA,0.471,1.191,21.45,20
or10,MTLR,0.767,1.069,15.64,20
or10,KNN,0.918,1.391,27.33,20
or10,ELASTICNET,1.055,1.366,24.42,20
or10,COX,1.621,1.722,30.07,20
or10,SSVM,1.343,1.554,29.04,20
or2,BASELINE,0.0,1.0,0.0,10
or2,RSF,0.224,1.316,17.8,10
or2,DEEPSURV,0.254,1.304,21.56,10
or2,WEIBULLAFT,0.528,1.725,36.91,10
or2,GBSA,0.497,1.495,24.77,10
or2,MTLR,0.246,1.171,15.51,10
or2,KNN,0.47,1.684,42.37,10
or2,ELASTICNET,0.553,1.761,33.77,10
or2,COX,0.45,1.586,28.51,10
or2,SSVM,0.563,1.869,39.24,10
or30,BASELINE,0.0,1.0,0.0,10
or30,RSF,-0.001,0.904,17.75,10
or30,DEEPSURV,0.013,0.982,20.82,10
or30,WEIBULLAFT,0.001,1.107,20.86,10
or30,GBSA,0.005,1.044,21.1,10
or30,MTLR,0.001,0.88,14.87,10
or30,KNN,0.012,1.201,27.78,10
or30,ELASTICNET,-0.0,1.115,28.17,10
or30,COX,0.011,1.256,27.63,10
or30,SSVM,0.008,1.318,35.87,10
rdmRad,BASELINE,0.0,1.0,0.0,30
rdmRad,RSF,0.009,1.02,21.75,30
rdmRad,DEEPSURV,0.017,1.043,12.35,30
rdmRad,WEIBULLAFT,0.001,1.462,27.21,30
rdmRad,GBSA,-0.002,1.189,19.82,30
rdmRad,MTLR,0.022,1.141,18.51,30
rdmRad,KNN,0.002,1.419,30.26,30
rdmRad,ELASTICNET,0.009,1.343,23.56,30
rdmRad,COX,0.064,1.665,28.61,30
rdmRad,SSVM,0.075,1.508,29.32,30
real_world,BASELINE,0.0,1.0,0.0,30
real_world,RSF,-0.0,0.718,17.09,30
real_world,DEEPSURV,-0.041,0.71,17.41,30
real_world,WEIBULLAFT,-0.02,0.857,26.56,30
real_world,GBSA,0.044,0.81,14.61,30
real_world,MTLR,-0.011,0.701,16.05,30
real_world,KNN,-0.045,0.899,25.44,30
real_world,ELASTICNET,-0.021,0.875,20.43,30
real_world,COX,-0.038,0.911,23.01,30
real_world,SSVM,0.03,0.925,24.8,30
varied,BASELINE,0.0,1.0,0.0,50
varied,RSF,0.364,0.894,18.91,50
varied,DEEPSURV,0.592,0.923,16.01,50
varied,WEIBULLAFT,0.866,1.059,22.09,50
varied,GBSA,0.53,1.048,23.47,50
varied,MTLR,0.971,0.978,18.01,50
varied,KNN,0.793,1.149,22.29,50
varied,ELASTICNET,1.195,1.201,23.08,50
varied,COX,2.303,1.451,25.55,50
varied,SSVM,2.558,1.49,31.82,50
