instance,early_trigger%,group
rotatingDiamonds1,100.0,varied
concentricCircles1,98.86363636363636,varied
car_door_25,94.25287356321839,real_world
car_door_35,88.50574712643679,real_world
car_door_45,51.13636363636363,real_world
team4_400,45.55555555555556,varied
lin318_or30,40.909090909090914,or30
rat195_or10,32.22222222222222,or10
kroD100rdmRad,28.40909090909091,rdmRad
d493_or2,27.77777777777778,or2
team6_500rdmRad,26.666666666666668,rdmRad
bubbles5,23.595505617977526,varied
dsj1000rdmRad,21.34831460674157,rdmRad
kroD100_or10,20.454545454545457,or10
bonus1000,12.222222222222221,varied
