feature,signal(|C-0.5|),C_mean,concentricCircles4,car_door_50,bonus1000,kroD100_or2,rat195_or30
angle_variance,0.0193,0.5192,0.5,0.509,0.544,0.51,0.532
avg_edge_length,0.019,0.4826,0.479,0.489,0.454,0.504,0.487
pre_vnd_cost,0.0189,0.4822,0.479,0.488,0.454,0.503,0.488
bbox_height,0.0155,0.4845,0.482,0.491,0.484,0.489,0.477
var_edge_length,0.0152,0.502,0.496,0.499,0.472,0.504,0.539
bbox_area,0.0147,0.4853,0.477,0.491,0.478,0.481,0.499
bbox_width,0.011,0.4892,0.483,0.489,0.475,0.5,0.5
centroid_dist_sum,0.0108,0.4945,0.497,0.477,0.502,0.486,0.511
centroid_y,0.005,0.5004,0.499,0.509,0.501,0.49,0.503
centroid_x,0.0048,0.5036,0.506,0.506,0.502,0.497,0.506
