instance,split,model,oracle,lineage,stage,kappa_vnd
bonus1000,development,True,True,False,False,True
bubbles1,test,False,False,False,False,True
bubbles2,test,False,False,False,False,True
bubbles3,test,False,False,False,False,False
bubbles4,test,False,False,False,False,True
bubbles5,development,False,False,False,False,True
bubbles6,test,False,False,False,False,True
bubbles7,test,False,False,False,False,True
bubbles8,test,False,False,False,False,True
bubbles9,test,False,False,False,False,False
chaoSingleDep,test,False,False,False,False,True
concentricCircles1,development,False,False,False,False,True
concentricCircles2,test,False,False,False,False,False
concentricCircles3,test,False,False,False,False,True
concentricCircles4,test,True,True,True,True,True
concentricCircles5,test,False,False,False,False,True
rotatingDiamonds1,development,False,False,False,False,False
rotatingDiamonds2,test,False,False,False,False,False
rotatingDiamonds3,test,False,False,False,False,False
rotatingDiamonds4,test,False,False,False,False,False
rotatingDiamonds5,test,False,False,False,False,False
team1_100,test,False,False,False,False,False
team2_200,test,False,False,False,False,False
team3_300,test,False,False,False,False,False
team4_400,development,False,False,False,False,False
team5_499,test,False,False,False,False,False
team6_500,test,False,False,False,False,False
d493_or2,development,False,False,False,False,True
dsj1000_or2,test,False,False,False,False,True
kroD100_or2,test,True,True,True,True,False
lin318_or2,test,False,False,False,False,False
pcb442_or2,test,False,False,False,False,False
rat195_or2,test,False,False,False,False,False
rd400_or2,test,False,False,False,False,False
d493_or10,test,False,False,False,False,True
dsj1000_or10,test,False,False,False,False,True
kroD100_or10,development,False,False,False,False,False
lin318_or10,test,False,False,False,False,False
pcb442_or10,test,False,False,False,False,False
rat195_or10,development,False,False,False,False,False
rd400_or10,test,False,False,False,False,False
d493_or30,test,False,False,False,False,True
dsj1000_or30,test,False,False,False,False,True
kroD100_or30,test,False,False,False,False,False
lin318_or30,development,False,False,False,False,False
pcb442_or30,test,False,False,False,False,False
rat195_or30,test,True,True,True,True,False
rd400_or30,test,False,False,False,False,False
bonus1000rdmRad,test,False,False,False,False,False
d493rdmRad,test,False,False,False,False,False
dsj1000rdmRad,development,False,False,False,False,True
kroD100rdmRad,development,False,False,False,False,False
lin318rdmRad,test,False,False,False,False,False
pcb442rdmRad,test,False,False,False,False,False
rat195rdmRad,test,False,False,False,False,False
rd400rdmRad,test,False,False,False,False,False
team1_100rdmRad,test,False,False,False,False,False
team2_200rdmRad,test,False,False,False,False,False
team3_300rdmRad,test,False,False,False,False,False
team4_400rdmRad,test,False,False,False,False,False
team5_499rdmRad,test,False,False,False,False,False
team6_500rdmRad,development,False,False,False,False,False
car_door_25,development,False,False,False,False,True
car_door_30,test,False,False,False,False,False
car_door_35,development,False,False,False,False,True
car_door_40,test,False,False,False,False,True
car_door_45,development,False,False,False,False,True
car_door_50,test,True,True,True,False,True
