instance,kappa_observed,C_observed
bonus1000,0.6641021689462056,0.5678190340358955
bubbles1,0.9339757673215044,0.5622679299936929
bubbles2,0.9222528355386114,0.5614691860558457
bubbles4,0.8740196443471135,0.6151971955407758
bubbles5,0.7093913411310883,0.5456929663358335
bubbles6,0.9071729696306913,0.5916399257891888
bubbles7,0.9127686974711948,0.5888652694124771
bubbles8,0.9035159635355169,0.58841823262055
car_door_25,0.951230110179187,0.5200630192259491
car_door_35,0.9487565101067043,0.5687072525379459
car_door_40,0.9421168852113553,0.5577641079896143
car_door_45,0.9384343582748432,0.5384787509119642
car_door_50,0.9376968673971184,0.5131018350129835
chaoSingleDep,0.9234546135167512,0.5393073300712584
concentricCircles1,0.8848408802261686,0.48155115034003765
concentricCircles3,0.9209635533222086,0.5746811676534199
concentricCircles4,0.9149461308312445,0.5384198660061467
concentricCircles5,0.93134009632182,0.5588930208486089
d493_or10,0.9014800316104572,0.5958221536721494
d493_or2,0.828859569141665,0.5689525600228853
d493_or30,0.7151467058777942,0.5639344169987212
dsj1000_or10,0.9271628413180221,0.5651175815462853
dsj1000_or2,0.908588006935178,0.5826709050398031
dsj1000_or30,0.9290270502285035,0.559708771493547
dsj1000rdmRad,0.9056895434896655,0.5631139454850768
