instance,run,kappa_observed,C_observed
bonus1000,run-1782644286_i9,0.6752601009098009,0.572752472991703
bonus1000,run-1782644748_i9,0.433896707341777,0.5777659419938992
bonus1000,run-1782647995_i9,0.8831496985870385,0.5529386871220844
bubbles1,run-1782686437_i9,0.9414589240838985,0.5632734554873369
bubbles1,run-1782686494_i9,0.9198797566648763,0.5367859104641582
bubbles1,run-1782686546_i9,0.9405886212157385,0.5867444240295835
bubbles2,run-1782686739_i9,0.9106340808001043,0.5469683305925415
bubbles2,run-1782686805_i9,0.9220550491537809,0.5765255502576699
bubbles2,run-1782686873_i9,0.9340693766619487,0.5609136773173258
bubbles4,run-1782687857_i9,0.8488974093425691,0.6214343234997222
bubbles4,run-1782688335_i9,0.8851318445253309,0.6176203332535599
bubbles4,run-1782688831_i9,0.8880296791734407,0.6065369298690452
bubbles5,run-1782645492_i9,0.7001998444128419,0.5399256893292484
bubbles5,run-1782645608_i9,0.7323142492153301,0.538006853883484
bubbles5,run-1782645734_i9,0.6956599297650925,0.5591463557947681
bubbles6,run-1782690753_i9,0.937785315639297,0.5835514475780722
bubbles6,run-1782691528_i9,0.8700047954207037,0.6014455390847988
bubbles6,run-1782692300_i9,0.9137287978320728,0.5899227907046952
bubbles7,run-1782695529_i9,0.9014593702894564,0.5810578781791305
bubbles7,run-1782696856_i9,0.900077430095844,0.6094164380538549
bubbles7,run-1782698138_i9,0.936769292028284,0.576121492004446
bubbles8,run-1782703871_i9,0.8712600522180594,0.5785325166266307
bubbles8,run-1782706037_i9,0.9254998450845021,0.5958154698958926
bubbles8,run-1782708543_i9,0.9137879933039894,0.5909067113391268
car_door_25,run-1781303211_i9,0.950809566464406,0.5158373613875462
car_door_25,run-1781303276_i9,0.9408610787979973,0.5273794629968241
car_door_25,run-1781303343_i9,0.9620196852751581,0.5169722332934769
car_door_35,run-1781303974_i9,0.9448755151292886,0.5359227896702257
car_door_35,run-1781304056_i9,0.9621626290831952,0.5726229771779326
car_door_35,run-1781304152_i9,0.9392313861076289,0.5975759907656791
car_door_40,run-1781418968_i9,0.9439331421193197,0.5753920118343195
car_door_40,run-1781419150_i9,0.9314103873853959,0.5461430957745337
car_door_40,run-1781419337_i9,0.95100712612935,0.5517572163599895
car_door_45,run-1781304884_i9,0.9093184869033211,0.5394604209902164
car_door_45,run-1781304983_i9,0.9489936757728237,0.5197679711964244
car_door_45,run-1781305090_i9,0.9569909121483853,0.5562078605492518
car_door_50,run-1787237400_i9,0.9409577009582566,0.49782540788620033
car_door_50,run-1787237488_i9,0.9322425794333802,0.5137111517367459
car_door_50,run-1787237575_i9,0.9398903217997183,0.5277689454160043
chaoSingleDep,run-1782711610_i9,0.8926657208403476,0.5517032378863662
chaoSingleDep,run-1782711763_i9,0.9265401663755947,0.5337682813474368
chaoSingleDep,run-1782711921_i9,0.9511579533343112,0.5324504709799723
concentricCircles1,run-1782645943_i9,0.8848408802261686,0.48155115034003765
concentricCircles3,run-1782712527_i9,0.9240321528448043,0.5710438260017955
concentricCircles3,run-1782712752_i9,0.9443482895444294,0.5888625143860924
concentricCircles3,run-1782712934_i9,0.894510217577392,0.564137162572372
concentricCircles4,run-1787236199_i9,0.9019446893829562,0.5219409543850962
concentricCircles4,run-1787236313_i9,0.9239162424362375,0.5413936136268807
concentricCircles4,run-1787236431_i9,0.91897746067454,0.551925030006463
concentricCircles5,run-1782716182_i9,0.9197928657208884,0.5644402496396614
concentricCircles5,run-1782716623_i9,0.9439194817593544,0.5784308614622703
concentricCircles5,run-1782717136_i9,0.9303079414852177,0.5338079514438951
d493_or10,run-1781403186_i9,0.845178274968084,0.5958609776557614
d493_or10,run-1781405148_i9,0.9287080692751689,0.5926655208489016
d493_or10,run-1781407812_i9,0.9305537505881187,0.5989399625117855
d493_or2,run-1781293250_i9,0.7261167434581607,0.5723891513498942
d493_or2,run-1781293598_i9,0.849285687562206,0.5863051352434533
d493_or2,run-1781293999_i9,0.9111762764046286,0.5481633934753083
d493_or30,run-1781507407_i9,0.9046973193465008,0.5751340512606046
d493_or30,run-1781507653_i9,0.5550682301916106,0.560817284660343
d493_or30,run-1781508007_i9,0.6856745680952709,0.555851915075216
dsj1000_or10,run-1781412575_i9,0.9208154163536796,0.5521851107569353
dsj1000_or10,run-1781414089_i9,0.9324615270020674,0.5742620387983149
dsj1000_or10,run-1781415380_i9,0.9282115805983194,0.5689055950836056
dsj1000_or2,run-1782755207_i9,0.9183523108463268,0.5755097870794659
dsj1000_or2,run-1782769753_i9,0.9152089588720639,0.5891816043041749
dsj1000_or2,run-1782782593_i9,0.8922027510871434,0.5833213237357686
dsj1000_or30,run-1781510105_i9,0.9477011246755511,0.5432912931746566
dsj1000_or30,run-1781510891_i9,0.9278702804929659,0.5684022313856568
dsj1000_or30,run-1781511735_i9,0.9115097455169933,0.5674327899203279
dsj1000rdmRad,run-1781299542_i9,0.945967212483385,0.5648701384810654
dsj1000rdmRad,run-1781299712_i9,0.8658088367670562,0.573937196709947
dsj1000rdmRad,run-1781299866_i9,0.905292581218555,0.550534501264218
