instance,island,run,selected_files,usable_records,ranked_records,sha256
bonus1000,9,run-1782644286_i9,800,744,740,945cc6d36aa064ef2833071bc5102e8ecc3e7a88c79ba9af2d559803f3d2de04
bonus1000,9,run-1782644748_i9,700,657,654,b8ae188e402d4157f36cf33f19615b46d1eea38e2e55dd55f5e368b7288a23d9
bonus1000,9,run-1782647995_i9,800,739,736,ed386f508e76ae47566bffed64661aacae100a255b332d925d5f93009df136de
bubbles1,9,run-1782686437_i9,491,454,451,ef4e10e4cd8e3df7881a48ae83e820d63a7e4f077eeccbec2272e35d31681b4f
bubbles1,9,run-1782686494_i9,491,460,457,95e83c6d1abab4bde7b96f0f7878d92df12ad2d8ba7786fe1416566c5235abf4
bubbles1,9,run-1782686546_i9,481,450,447,bd5e1f6aeed5f897dcc2dc5e8fb2c868ec542b4397d919a659f560c7ee35a3c5
bubbles2,9,run-1782686739_i9,490,456,452,c190886469f6fc0116940c22e3a0bd02f6a8fe5b99cce86c615ddff2a9f40afa
bubbles2,9,run-1782686805_i9,510,480,477,2754d0eb871badac0e72eaef8c6ca3a3d84dc6fccdaeebe53079040175684fd4
bubbles2,9,run-1782686873_i9,480,451,448,fc93599bdb080897304ba93aaed11c14745a6ff1ce47b592d8fc30261f2f7795
bubbles4,9,run-1782687857_i9,800,744,741,fe07c364a35af3265779b0ee29a15b428dbdb775f5c7af0f5ca297536b420ba7
bubbles4,9,run-1782688335_i9,800,745,742,2dfa4c6144f2c2bf766285e00ddd232917860eb6bdb064ba46a2ef82f0bf64b6
bubbles4,9,run-1782688831_i9,800,745,741,b6ed11d0c9390a50e715bc591652a90afa04b10bdccfcc2d147ecf71b9942a9b
bubbles5,9,run-1782645492_i9,190,181,178,0ce667a1573af90f8d474d9866534418d5718871778918d7ec7b579b5a309c5f
bubbles5,9,run-1782645608_i9,320,303,300,82c124fbb00c266b3bce497c5ae89ce01ae422e565e754501a4cacaa2a478d8d
bubbles5,9,run-1782645734_i9,320,299,296,ea52f419ac5fe957aa7c0076b0713ce3174507492734e4fc9ab1fb41fa6d551e
bubbles6,9,run-1782690753_i9,800,743,740,06cd07fa18ba35ceeee0bf66b09a63fbaada3fc91de889d9a2d26875fc466ec1
bubbles6,9,run-1782691528_i9,800,754,751,cb08aae39d94b590fdb21eaf047c948b063d5ef2c1481b11772e32e834b89663
bubbles6,9,run-1782692300_i9,800,747,742,c654d01e5eb9997d1b009d9a67abb1106cf2ced369bb3746e7d8b3ed3ba66d25
bubbles7,9,run-1782695529_i9,800,745,742,4ef0049f68fc9664c102f09ecf22e3e7fbfdb68e301089c7a8ea8325ab5fee3d
bubbles7,9,run-1782696856_i9,800,741,738,8d7da90477576b08e78fd0d79ef4c6d7c83238cbcb39769f84da3d2caf31794d
bubbles7,9,run-1782698138_i9,800,747,744,b4baca35e40e72ca2180f95cbe734de7c47417e9c6cc44fd3f5228a673365e62
bubbles8,9,run-1782703871_i9,800,742,738,ace8efff5d70443a149f2b9653c69911c5f2fa1fdcfc537cba768802cbb636c6
bubbles8,9,run-1782706037_i9,800,743,740,7e2f40061f38b56155e6d9d6181ed813cfa6a42e964bb92bb236ad9592f2305c
bubbles8,9,run-1782708543_i9,800,746,743,02dfeaf7a317e07b57145d9cc9ebc72c19517b55dd3312c705ebe4bb57ba07b5
car_door_25,9,run-1781303211_i9,210,194,190,ff8d0fa35718b6e7cd895d4a41bf6ee922cbd130223eb85df7b963bf518e49a8
car_door_25,9,run-1781303276_i9,160,150,147,a1d8a5a48fa02f048dad623ce93b46056b92da63939bc1fe34edd26a3ef0be43
car_door_25,9,run-1781303343_i9,190,179,176,8dea8680c7a0e8dbf08b7328c0c844889b627e4384a2b7c3df0af3e37cf27288
car_door_35,9,run-1781303974_i9,210,202,198,db1a0c428c5c95fac24a4b4225797f3b06ed436904b0fc17d0aa01a31d25f2d2
car_door_35,9,run-1781304056_i9,500,470,467,0e77bfa7aac476203529033aa881677ea8b8543951f3e3b9789ede7c41335996
car_door_35,9,run-1781304152_i9,180,167,164,ed1530dd02a071b7ed95576b8efb394ba3e4dfed76b858776448c785873cc949
car_door_40,9,run-1781418968_i9,800,754,751,90dabef9a0e346a77110238b61ba46eb2534d5b29b838183e430601c1940f590
car_door_40,9,run-1781419150_i9,800,751,747,f93ce2bc52c33108bd27423aa719b3380f2a396b7ac58fc4a330ec0fe345ee5f
car_door_40,9,run-1781419337_i9,570,534,530,50f2ad2e65eeb4c7d1ff27b94e7e676eb4871ddec834b70c51d03b5ce5c2d581
car_door_45,9,run-1781304884_i9,350,327,324,7ef6315944aded17cf9cc7ff4c2a7c193b1076c0da3bad5a832398832c3a7ec1
car_door_45,9,run-1781304983_i9,420,392,389,cb5e0ad9f4f4aa3b488edc936349c19473010df32f9538a0c35cdca0d36adeb3
car_door_45,9,run-1781305090_i9,600,560,556,93758588b7c7c7733752174d032a5ee4893346cba1129f2146fc5c69159f0447
car_door_50,9,run-1787237400_i9,320,297,293,33f1d917141d088417ca44738528f10c224fda5977f0aa97ba0a151482c7ed6a
car_door_50,9,run-1787237488_i9,140,133,130,8df35c7d6613b673cacffe63a05a3df94ac3ae9228efa4beaa7b565c9e2009fa
car_door_50,9,run-1787237575_i9,150,142,139,0687dd547569479c5e83b6273098650a6689f712cefa821bc94fb4d451ae8582
chaoSingleDep,9,run-1782711610_i9,800,749,745,f9aca7f72ec3b2ff66d9255e9c5bc38b736383084aa9d28ea66e442949f7dce7
chaoSingleDep,9,run-1782711763_i9,640,595,591,648e9ef6707143dfeac4b704c77348f1a4099bb92f5f53f777f5e824e4007e1a
chaoSingleDep,9,run-1782711921_i9,700,652,649,fa4e2b06208276d338368c4a5e59d845f767b6c484aefb6a11cea19df28e9ad1
concentricCircles1,9,run-1782645943_i9,132,123,119,7afba50379c4591cfd1473aaf9c7a9ffbaad2d970d6b14aa919bc619f3d7b3d7
concentricCircles3,9,run-1782712527_i9,770,716,713,730ec14f04af7a71b91a26d95dd2971875b2d598699e57b6e9d05f683d705ad6
concentricCircles3,9,run-1782712752_i9,800,747,742,2b115e94a293ef438ce2ad831d0b4e5cab4798db23164e3cd5ba6e90cef82e56
concentricCircles3,9,run-1782712934_i9,800,750,747,c56bc443b8330506c7f1d2098ae16651a59d52207372a2f81c9fdc0ba65c3d72
concentricCircles4,9,run-1787236199_i9,200,187,183,4aa358e51e8f3f3dbecab8a9ad3259144f8244cc001e95a5962884518bef9882
concentricCircles4,9,run-1787236313_i9,310,292,289,bdc26df7f847f4ced4d345eaae1a2ecde432ca01cfe8f0e884b727095b9f55a1
concentricCircles4,9,run-1787236431_i9,620,580,576,ac0f59403a933edd425b61a9695a0c8c1f4a8bf3ee2846f8ef01153c98890fac
concentricCircles5,9,run-1782716182_i9,800,753,750,c370de49bc9857189207cc36544608330a99303bb32370e3d8b748300d32efc0
concentricCircles5,9,run-1782716623_i9,800,752,748,054b9b53b6cc5a2c04d75255c08d1327564db3e69c6899a0af9b4d56fff4c689
concentricCircles5,9,run-1782717136_i9,800,741,737,c3f828a2c6b51d24ace23dc64714cd91d77dc75453124262b10a009124cf53e4
d493_or10,9,run-1781403186_i9,800,739,736,9308230c1acff77d42609a967a41367d434a80e00925a68ec1e9907df6abf827
d493_or10,9,run-1781405148_i9,800,749,746,a65d20a6c8eb0cd7f4cb2f08d6dca27ee520177b185f228c926b9c75323f4238
d493_or10,9,run-1781407812_i9,800,748,744,fa93ef99beceefa5b113b93322b94ebea36577f0bac0e948c3c9f4d835ce0fd1
d493_or2,9,run-1781293250_i9,730,685,682,33205009f7bd96dd9447d8f6845bac4b2a548bdce2ffc65fa147d30f7597dd27
d493_or2,9,run-1781293598_i9,800,741,737,2511eb079cc08be65d8f8b58a7804338c13d635016f0544287c692206127c591
d493_or2,9,run-1781293999_i9,800,747,744,f7ff69e9b246634f35435ddbbd48c77d54044a91782d778982ba3bacd21137c0
d493_or30,9,run-1781507407_i9,800,748,745,e274025a5738fc33812e141885cc4ec783fe83c61824d673018745f22ea01839
d493_or30,9,run-1781507653_i9,780,724,721,3b3f8e3d10dd9950caf621c54eceb67df003c2c1444cae00e30ecf74bbc9028a
d493_or30,9,run-1781508007_i9,800,744,740,c31acaee10a82ac658b68ad24a56f4e6f2c53461fca067a8c49cb255e3f385bd
dsj1000_or10,9,run-1781412575_i9,800,739,734,84fc35d2ba329da079dcaa57f5d5c8bc08ae072b713f85c2701164a89419207d
dsj1000_or10,9,run-1781414089_i9,800,741,735,b60c3db3e4d795697b3890d8d6b1b9d981a3a1b317a2796d1d496a4c55e7a8e6
dsj1000_or10,9,run-1781415380_i9,800,749,746,a2c9de864027d16031b83b5e68e1e6f187fea1ac821b6f67957ba70c784014ef
dsj1000_or2,9,run-1782755207_i9,800,747,742,75554914a1748413934beb904c8f2a0aa926d444fa40fe5b2f22e008b39c453a
dsj1000_or2,9,run-1782769753_i9,800,740,736,48cec44418f598f57a3637e577eb95475cc3ffdb46c4a988c273a2b8a9019e9f
dsj1000_or2,9,run-1782782593_i9,800,744,740,c86491530e11200e547c488e44311bb90e51236b75bdbc655cd37e1ac54ab444
dsj1000_or30,9,run-1781510105_i9,800,740,737,d2fa33555485ae5a05560afe857c7c13dd6155a8b78366b7be30d3295beb76fc
dsj1000_or30,9,run-1781510891_i9,800,745,740,ae7829ee3e479091f0cb790a61dd75c60e70919767a79e31c67c55ab172a7a4f
dsj1000_or30,9,run-1781511735_i9,800,737,733,b3893057b3ebf007f35390ae7e0bf42b5de2e6a7a45113a00ce35a80498b8f8e
dsj1000rdmRad,9,run-1781299542_i9,800,742,739,1564581b7254109e5da70641236edb0aa821d313bd72516ad51460da7876aa85
dsj1000rdmRad,9,run-1781299712_i9,710,664,661,192b3ee2d4fb53a71a014ea77a49bbe96fb20b6c771eb1a732809aa251fadb97
dsj1000rdmRad,9,run-1781299866_i9,800,756,753,cdca9f1b9a669e68c04de0d8be444f7ffa8f8f1e2bd2b06bee0ce9fef7ca4d8b
