instance,run,target_kappa,repeat,achieved_kappa,C
bonus1000,run-1782644286_i9,0.0,0,0.007262978756912653,0.7051640625288648
bonus1000,run-1782644286_i9,0.0,1,0.014859489444139591,0.6967399601022151
bonus1000,run-1782644286_i9,0.0,2,0.0038248588206285035,0.6989957249207637
bonus1000,run-1782644286_i9,0.0,3,0.04497758712591123,0.6831018963300176
bonus1000,run-1782644286_i9,0.0,4,0.03018387705549877,0.6985378736463159
bonus1000,run-1782644286_i9,0.1,0,0.07303964252784911,0.6905942514678007
bonus1000,run-1782644286_i9,0.1,1,0.059524691183113924,0.689446676332031
bonus1000,run-1782644286_i9,0.1,2,0.13163835797049542,0.6785569495223494
bonus1000,run-1782644286_i9,0.1,3,0.10427730751981704,0.6718967548463104
bonus1000,run-1782644286_i9,0.1,4,0.02429582344771768,0.7031878841186014
bonus1000,run-1782644286_i9,0.2,0,0.1509694972542369,0.6731052895536478
bonus1000,run-1782644286_i9,0.2,1,0.27140157923407326,0.64034416047999
bonus1000,run-1782644286_i9,0.2,2,0.20441387602517996,0.6605966801090642
bonus1000,run-1782644286_i9,0.2,3,0.189651604408262,0.6584307683234301
bonus1000,run-1782644286_i9,0.2,4,0.2667050030307746,0.6479778698430415
bonus1000,run-1782644286_i9,0.3,0,0.31707986033266494,0.6395352269079935
bonus1000,run-1782644286_i9,0.3,1,0.36439079377992595,0.6028400520540652
bonus1000,run-1782644286_i9,0.3,2,0.3435565173214497,0.6173024854847396
bonus1000,run-1782644286_i9,0.3,3,0.286798543322388,0.6450806475436471
bonus1000,run-1782644286_i9,0.3,4,0.26617836821135593,0.637334873712301
bonus1000,run-1782644286_i9,0.4,0,0.4335445812601358,0.5891910327790273
bonus1000,run-1782644286_i9,0.4,1,0.4108472321343963,0.6060032599897247
bonus1000,run-1782644286_i9,0.4,2,0.3932408540927466,0.612057943165441
bonus1000,run-1782644286_i9,0.4,3,0.3916616012086563,0.6091749683729885
bonus1000,run-1782644286_i9,0.4,4,0.39012304209291404,0.6072728480830423
bonus1000,run-1782644286_i9,0.5,0,0.4912020830119395,0.5820094698645898
bonus1000,run-1782644286_i9,0.5,1,0.4927527258667546,0.5885381084444575
bonus1000,run-1782644286_i9,0.5,2,0.5206656744442759,0.581829851748293
bonus1000,run-1782644286_i9,0.5,3,0.5206595289152132,0.5787408691802552
bonus1000,run-1782644286_i9,0.5,4,0.4494500101337487,0.6017660443041476
bonus1000,run-1782644286_i9,0.6,0,0.5854169085634545,0.5555656055141046
bonus1000,run-1782644286_i9,0.6,1,0.6468684526395504,0.5396540903721205
bonus1000,run-1782644286_i9,0.6,2,0.5793809920455731,0.5625006910124161
bonus1000,run-1782644286_i9,0.6,3,0.5770917602569413,0.5630713858115249
bonus1000,run-1782644286_i9,0.6,4,0.6285270100879803,0.5568751639759218
bonus1000,run-1782644286_i9,0.7,0,0.6989158563992548,0.5144221553796022
bonus1000,run-1782644286_i9,0.7,1,0.6915427319913331,0.5151781104801239
bonus1000,run-1782644286_i9,0.7,2,0.7461068557745177,0.5093806034578178
