instance,n,feature_set,COX,RSF,GBSA,best
concentricCircles4,1653,PRE_all,0.5665,0.5504,0.5496,0.5665
concentricCircles4,1653,LINEAGE,0.5793,0.5643,0.5536,0.5793
concentricCircles4,1653,PRE+LINEAGE,0.5726,0.5594,0.5567,0.5726
concentricCircles4,1653,DRIFT,0.588,0.571,0.5896,0.5896
concentricCircles4,1653,uni:parent_best_cost,0.5665,,,0.5665
concentricCircles4,1653,uni:parent_mean_cost,0.571,,,0.571
concentricCircles4,1653,uni:parent_cost_gap,0.5383,,,0.5383
concentricCircles4,1653,uni:parent_best_fitness,0.5241,,,0.5241
concentricCircles4,1653,uni:parent_mean_fitness,0.514,,,0.514
concentricCircles4,1653,uni:dist_min,0.5162,,,0.5162
concentricCircles4,1653,uni:dist_mean,0.5201,,,0.5201
concentricCircles4,1653,uni:mutated,0.5064,,,0.5064
concentricCircles4,1653,uni:offspring_vs_best_parent,0.4991,,,0.4991
rat195_or30,1610,PRE_all,0.5985,0.5825,0.5814,0.5985
rat195_or30,1610,LINEAGE,0.5984,0.5746,0.5721,0.5984
rat195_or30,1610,PRE+LINEAGE,0.6102,0.5896,0.5983,0.6102
rat195_or30,1610,DRIFT,0.6009,0.5747,0.603,0.603
rat195_or30,1610,uni:parent_best_cost,0.5788,,,0.5788
rat195_or30,1610,uni:parent_mean_cost,0.5624,,,0.5624
rat195_or30,1610,uni:parent_cost_gap,0.5425,,,0.5425
rat195_or30,1610,uni:parent_best_fitness,0.5136,,,0.5136
rat195_or30,1610,uni:parent_mean_fitness,0.5349,,,0.5349
rat195_or30,1610,uni:dist_min,0.5789,,,0.5789
rat195_or30,1610,uni:dist_mean,0.5542,,,0.5542
rat195_or30,1610,uni:mutated,0.5077,,,0.5077
rat195_or30,1610,uni:offspring_vs_best_parent,0.5265,,,0.5265
car_door_50,1003,PRE_all,0.5606,0.56,0.5498,0.5606
car_door_50,1003,LINEAGE,0.5755,0.5821,0.5853,0.5853
car_door_50,1003,PRE+LINEAGE,0.5715,0.5821,0.5718,0.5821
car_door_50,1003,DRIFT,0.621,0.5826,0.5931,0.621
car_door_50,1003,uni:parent_best_cost,0.5816,,,0.5816
car_door_50,1003,uni:parent_mean_cost,0.5791,,,0.5791
car_door_50,1003,uni:parent_cost_gap,0.5584,,,0.5584
car_door_50,1003,uni:parent_best_fitness,0.5305,,,0.5305
car_door_50,1003,uni:parent_mean_fitness,0.531,,,0.531
car_door_50,1003,uni:dist_min,0.5235,,,0.5235
car_door_50,1003,uni:dist_mean,0.5311,,,0.5311
car_door_50,1003,uni:mutated,0.4899,,,0.4899
car_door_50,1003,uni:offspring_vs_best_parent,0.5158,,,0.5158
kroD100_or2,636,PRE_all,0.5718,0.5534,0.6254,0.6254
kroD100_or2,636,LINEAGE,0.6193,0.5949,0.6284,0.6284
kroD100_or2,636,PRE+LINEAGE,0.6208,0.593,0.656,0.656
kroD100_or2,636,DRIFT,0.6388,0.6297,0.6321,0.6388
kroD100_or2,636,uni:parent_best_cost,0.5718,,,0.5718
kroD100_or2,636,uni:parent_mean_cost,0.5747,,,0.5747
kroD100_or2,636,uni:parent_cost_gap,0.4957,,,0.4957
kroD100_or2,636,uni:parent_best_fitness,0.5243,,,0.5243
kroD100_or2,636,uni:parent_mean_fitness,0.5452,,,0.5452
kroD100_or2,636,uni:dist_min,0.5247,,,0.5247
kroD100_or2,636,uni:dist_mean,0.5458,,,0.5458
kroD100_or2,636,uni:mutated,0.5115,,,0.5115
kroD100_or2,636,uni:offspring_vs_best_parent,0.4471,,,0.4471
