instance,n,feature_set,COX,RSF,GBSA,best
concentricCircles4,5582,PRE_geom,0.5178,0.5115,0.5151,0.5178
concentricCircles4,5582,PRE_pop,0.5284,0.5235,0.5317,0.5317
concentricCircles4,5582,PRE_all,0.5346,0.5194,0.5356,0.5356
concentricCircles4,5582,ORACLE,0.6623,0.6776,0.6915,0.6915
concentricCircles4,5582,ORACLE_all,0.6726,0.6719,0.6937,0.6937
concentricCircles4,5582,DRIFT,0.524,0.5196,0.5151,0.524
car_door_50,4924,PRE_geom,0.5164,0.5179,0.5238,0.5238
car_door_50,4924,PRE_pop,0.5357,0.5161,0.5337,0.5357
car_door_50,4924,PRE_all,0.5356,0.5181,0.5325,0.5356
car_door_50,4924,ORACLE,0.6442,0.6622,0.6719,0.6719
car_door_50,4924,ORACLE_all,0.654,0.6531,0.6759,0.6759
car_door_50,4924,DRIFT,0.5316,0.5166,0.5328,0.5328
bonus1000,4822,PRE_geom,0.5313,0.5122,0.5334,0.5334
bonus1000,4822,PRE_pop,0.5093,0.5014,0.5162,0.5162
bonus1000,4822,PRE_all,0.5276,0.514,0.5329,0.5329
bonus1000,4822,ORACLE,0.6863,0.6993,0.7098,0.7098
bonus1000,4822,ORACLE_all,0.6852,0.6909,0.7056,0.7056
bonus1000,4822,DRIFT,0.5457,0.5142,0.5443,0.5457
kroD100_or2,2506,PRE_geom,0.5234,0.5182,0.5225,0.5234
kroD100_or2,2506,PRE_pop,0.5341,0.5198,0.5202,0.5341
kroD100_or2,2506,PRE_all,0.5293,0.5253,0.5287,0.5293
kroD100_or2,2506,ORACLE,0.6477,0.6769,0.6879,0.6879
kroD100_or2,2506,ORACLE_all,0.6521,0.6758,0.6851,0.6851
kroD100_or2,2506,DRIFT,0.5272,0.5162,0.5228,0.5272
rat195_or30,5496,PRE_geom,0.5439,0.5238,0.5341,0.5439
rat195_or30,5496,PRE_pop,0.5076,0.5218,0.5332,0.5332
rat195_or30,5496,PRE_all,0.5479,0.5276,0.5403,0.5479
rat195_or30,5496,ORACLE,0.6277,0.6508,0.676,0.676
rat195_or30,5496,ORACLE_all,0.6372,0.6549,0.6779,0.6779
rat195_or30,5496,DRIFT,0.5326,0.5369,0.5512,0.5512
